district,tree_species,quantity,type
Kologrivsky District,spruce,282960,coniferous
Vetluzhsky District ,spruce,234036,coniferous
Varnavinsky District,spruce,198469,coniferous
Makaryevsky District,spruce,105566,coniferous
Total for northeast,spruce,821041,coniferous
Soligalichsky District,spruce,95377,coniferous
Chukhlomsky District,spruce,34729,coniferous
Galichsky District,spruce,31256,coniferous
Buysky District,spruce,19942,coniferous
Total for northwest,spruce,181304,coniferous
Kineshemsky District,spruce,28271,coniferous
Kostromsky District,spruce,23206,coniferous
Yurevetsky District,spruce,27918,coniferous
Nerekhtsky District,spruce,3406,coniferous
Total for southwest,spruce,82801,coniferous
All,spruce,1085146,coniferous
Kologrivsky District,pine,155672,coniferous
Vetluzhsky District ,pine,118757,coniferous
Varnavinsky District,pine,88965,coniferous
Makaryevsky District,pine,206691,coniferous
Total for northeast,pine,570084,coniferous
Soligalichsky District,pine,6505,coniferous
Chukhlomsky District,pine,3615,coniferous
Galichsky District,pine,25258,coniferous
Buysky District,pine,3440,coniferous
Total for northwest,pine,38818,coniferous
Kineshemsky District,pine,8665,coniferous
Kostromsky District,pine,22628,coniferous
Yurevetsky District,pine,11202,coniferous
Nerekhtsky District,pine,620,coniferous
Total for southwest,pine,43114,coniferous
All,pine,652017,coniferous
Kologrivsky District,spruce_and_pine,73122,coniferous
Vetluzhsky District ,spruce_and_pine,52815,coniferous
Varnavinsky District,spruce_and_pine,11159,coniferous
Makaryevsky District,spruce_and_pine,22346,coniferous
Total for northeast,spruce_and_pine,159442,coniferous
Soligalichsky District,spruce_and_pine,26094,coniferous
Chukhlomsky District,spruce_and_pine,71812,coniferous
Galichsky District,spruce_and_pine,32342,coniferous
Buysky District,spruce_and_pine,23186,coniferous
Total for northwest,spruce_and_pine,153434,coniferous
Kineshemsky District,spruce_and_pine,23723,coniferous
Kostromsky District,spruce_and_pine,17996,coniferous
Yurevetsky District,spruce_and_pine,4790,coniferous
Nerekhtsky District,spruce_and_pine,3226,coniferous
Total for southwest,spruce_and_pine,49735,coniferous
All,spruce_and_pine,362612,coniferous
Kologrivsky District,spruce_and_fir,119,coniferous
Vetluzhsky District ,spruce_and_fir,155520,coniferous
Varnavinsky District,spruce_and_fir,0,coniferous
Makaryevsky District,spruce_and_fir,857,coniferous
Total for northeast,spruce_and_fir,156496,coniferous
Soligalichsky District,spruce_and_fir,0,coniferous
Chukhlomsky District,spruce_and_fir,0,coniferous
Galichsky District,spruce_and_fir,116,coniferous
Buysky District,spruce_and_fir,96,coniferous
Total for northwest,spruce_and_fir,212,coniferous
Kineshemsky District,spruce_and_fir,0,coniferous
Kostromsky District,spruce_and_fir,0,coniferous
Yurevetsky District,spruce_and_fir,0,coniferous
Nerekhtsky District,spruce_and_fir,0,coniferous
Total for southwest,spruce_and_fir,0,coniferous
All,spruce_and_fir,156708,coniferous
Kologrivsky District,other_conifers,278,coniferous
Vetluzhsky District ,other_conifers,586,coniferous
Varnavinsky District,other_conifers,893,coniferous
Makaryevsky District,other_conifers,28,coniferous
Total for northeast,other_conifers,1785,coniferous
Soligalichsky District,other_conifers,0,coniferous
Chukhlomsky District,other_conifers,0,coniferous
Galichsky District,other_conifers,34,coniferous
Buysky District,other_conifers,0,coniferous
Total for northwest,other_conifers,34,coniferous
Kineshemsky District,other_conifers,48,coniferous
Kostromsky District,other_conifers,12,coniferous
Yurevetsky District,other_conifers,67,coniferous
Nerekhtsky District,other_conifers,0,coniferous
Total for southwest,other_conifers,127,coniferous
All,other_conifers,1945,coniferous
Kologrivsky District,total_conifer,512151,coniferous
Vetluzhsky District ,total_conifer,561714,coniferous
Varnavinsky District,total_conifer,299486,coniferous
Makaryevsky District,total_conifer,335498,coniferous
Total for northeast,total_conifer,1708849,coniferous
Soligalichsky District,total_conifer,127976,coniferous
Chukhlomsky District,total_conifer,110155,coniferous
Galichsky District,total_conifer,89006,coniferous
Buysky District,total_conifer,46665,coniferous
Total for northwest,total_conifer,373802,coniferous
